 0.000000    0.00000    0.000            NaN
 0.001715    0.04239   -3.678      -0.477481
 0.001291    0.03177   -3.680      -0.051480
 0.001017    0.02494   -3.682      -0.034664
 0.000824    0.02011   -3.681      -0.025852
 0.000683    0.01652   -3.673      -0.020443
 0.000578    0.01375   -3.651      -0.191498
 0.000502    0.01164   -3.613      -0.529359
 0.000447    0.01005   -3.567      -0.714533
 0.000404    0.00877   -3.517      -0.687133
 0.000365    0.00772   -3.477      -0.085730
 0.000335    0.00681   -3.420      -0.008648
 0.000311    0.00606   -3.360      -0.007853
 0.000291    0.00543   -3.299      -0.007185
 0.000275    0.00490   -3.238      -0.006618
 0.000262    0.00446   -3.181      -0.006133
 0.000252    0.00409   -3.126      -0.005711
 0.000243    0.00378   -3.074      -0.005342
 0.000236    0.00352   -3.025      -0.005017
 0.000231    0.00330   -2.981      -0.004729
 0.000226    0.00311   -2.941      -0.004474
 0.000223    0.00296   -2.906      -0.004243
 0.000220    0.00284   -2.875      -0.004035
 0.000218    0.00273   -2.848      -0.003847
 0.000217    0.00265   -2.825      -0.003676
 0.000232    0.00272   -2.791      -0.003828
 0.000252    0.00286   -2.762      -0.003260
 0.000249    0.00276   -2.746      -0.003213
 0.000246    0.00268   -2.731      -0.003090
 0.000244    0.00262   -2.717      -0.002977
 0.000243    0.00257   -2.705      -0.002871
 0.000243    0.00253   -2.694      -0.002772
 0.000243    0.00250   -2.684      -0.002680
 0.000243    0.00248   -2.676      -0.002594
 0.000244    0.00247   -2.669      -0.002514
 0.000245    0.00246   -2.664      -0.002439
 0.000290    0.00280   -2.638      -0.002535
 0.000292    0.00279   -2.633      -0.002243
 0.000289    0.00274   -2.629      -0.002211
 0.000286    0.00271   -2.625      -0.002151
 0.000284    0.00267   -2.622      -0.002095
 0.000283    0.00265   -2.619      -0.002041
 0.000282    0.00264   -2.616      -0.001990
 0.000283    0.00262   -2.612      -0.001941
 0.000283    0.00262   -2.609      -0.001895
 0.000285    0.00262   -2.607      -0.001851
 0.000318    0.00286   -2.593      -0.001948
 0.000327    0.00292   -2.588      -0.001724
 0.000322    0.00286   -2.585      -0.001711
 0.000318    0.00274   -2.567      -0.001653
 0.000315    0.00272   -2.567      -0.001591
 0.000312    0.00269   -2.567      -0.001536
 0.000310    0.00268   -2.566      -0.001485
 0.000310    0.00268   -2.569      -0.001438
 0.000310    0.00274   -2.583      -0.001395
 0.000311    0.00284   -2.604      -0.001353
 0.000312    0.00296   -2.629      -0.001314
 0.000335    0.00326   -2.649      -0.001396
 0.000350    0.00351   -2.669      -0.001203
 0.000345    0.00357   -2.694      -0.001191
 0.000341    0.00364   -2.718      -0.001157
 0.000336    0.00370   -2.741      -0.001124
 0.000333    0.00375   -2.762      -0.001093
 0.000329    0.00380   -2.781      -0.001062
 0.000326    0.00383   -2.798      -0.001033
 0.000323    0.00387   -2.813      -0.001006
 0.000321    0.00389   -2.825      -0.000979
 0.000319    0.00391   -2.835      -0.000954
 0.000317    0.00392   -2.843      -0.000931
 0.000329    0.00405   -2.839      -0.001019
 0.000349    0.00424   -2.829      -0.000851
 0.000342    0.00417   -2.833      -0.000859
 0.000336    0.00410   -2.835      -0.000839
 0.000330    0.00403   -2.835      -0.000822
 0.000325    0.00397   -2.834      -0.000805
 0.000321    0.00390   -2.832      -0.000788
 0.000317    0.00383   -2.828      -0.000773
 0.000313    0.00377   -2.823      -0.000759
 0.000311    0.00371   -2.818      -0.000744
 0.000308    0.00365   -2.811      -0.000731
 0.000306    0.00359   -2.804      -0.000718
 0.000305    0.00354   -2.795      -0.000707
 0.000317    0.00359   -2.776      -0.000791
 0.000339    0.00373   -2.753      -0.000653
 0.000334    0.00363   -2.744      -0.000668
 0.000328    0.00353   -2.735      -0.000658
 0.000324    0.00344   -2.726      -0.000650
 0.000320    0.00336   -2.717      -0.000640
 0.000317    0.00328   -2.707      -0.000631
 0.000314    0.00321   -2.698      -0.000623
 0.000312    0.00314   -2.688      -0.000616
 0.000310    0.00308   -2.679      -0.000608
 0.000308    0.00303   -2.670      -0.000601
 0.000307    0.00298   -2.661      -0.000595
 0.000306    0.00293   -2.652      -0.000588
 0.000306    0.00289   -2.644      -0.000581
